id,keyword,location,text,target,Correct Prediction,BERT-8b7db91c,LSTM_DROPOUT-GloVe-8b7db91c,GRU-GloVe-8b7db91c
116,annihilation,"Wayne, NJ","@INCIndia under Sonia Gandhi is like Pakistan. Every defeat is treated like a victory.Total annihilation only answer
http://t.co/KtTYiTOw64",0,0,0.64790457487,0.54764592648,0.42706543207
117,annihilation,Chicago,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... http://t.co/TrKg2tpWJm via @Change,1,1,0.27397310734,0.6079394817399999,0.47064578533
118,annihilation,,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... http://t.co/k0q4fnBzss via @Change,1,1,0.27397310734,0.6079394817399999,0.47064578533
119,annihilation,,Stop the Annihilation of the Salt River Wild Horses!!! https://t.co/546utTXzAm via @Change,0,0,0.37383460998999996,0.58076530695,0.52260100842
120,annihilation,Az,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/FLcQQeZnVW via @Change,0,0,0.27397310734,0.6079394817399999,0.47064578533
121,annihilation,"Wheeler,Wis.",U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/FaXDzI90dY via @Change,0,0,0.27397310734,0.6079394817399999,0.47064578533
122,annihilation,,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/n6VeOjW3S8 via @Change,0,0,0.27397310734,0.6079394817399999,0.47064578533
123,annihilation,,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/i0z3k0chgg via @Change,0,0,0.27397310734,0.6079394817399999,0.47064578533
133,apocalypse,,Southern Prepper Fiction:Sharecropping the Apocalypse https://t.co/HsleABS1Yr #Apocalyptic #doomsday #prepper #book #reading,0,0,0.28539115191,0.7263212204,0.19804270565999998
140,apocalypse,Arlington,OMg zombie apocalypse among my students... -___-,0,0,0.62419682741,0.32387393713,0.43559870124
162,army,"Logansport, Indiana",Check out more data on Upper Wabash reservoirs here on @LouisvilleUSACE site: http://t.co/hqqLQUqZmD,0,0,0.63750398159,0.15386983752,0.14558841288
170,arson,West Michigan,@pnuts_mama Be strong. It's at times like this that arson happens. Push thru past the felony stage.,0,0,0.42471593618000003,0.5578629374499999,0.8024639487299999
179,arson,Duo lane,@Vixuhn rip arson,0,0,0.07504832745000001,0.44090133905,0.6038299799
181,arson,Reality Based World,RT @TheAdvocateMag: Owner of Chicago-Area Gay Bar Admits to Arson Scheme http://t.co/wHTMwtgROJ #p2 #LGBT,1,1,0.71126461029,0.4945177733899999,0.46633824706
182,arson,EARTH,#LGBTQ News ?? Owner of Chicago-Area Gay Bar Admits to Arson Scheme: Frank Elliott pleaded... http://t.co/sGb9vNWqUx Via @TheAdvocateMag,1,1,0.61625283957,0.42624554038,0.28811073303
185,arsonist,,Owner of Chicago-Area Gay Bar Admits to Arson Scheme: Frank Elliott pleaded guilty to hiring an arsonist to to... http://t.co/L82mrYxfNK,1,1,0.6101778149600001,0.48296874761999997,0.23362931609
193,arsonist,"Toronto, Canada",ARSONIST Mc - CHRIST WALK http://t.co/D8LQHiGjT0 #Toronto #Columbus #Gospel,0,0,0.5853510499,0.31495010853,0.11926593632000002
197,arsonist,,Surveillance Video Captures Man Removing American Flag From Long Beach Home ... - KTLA http://t.co/g0o9wiAgHu,0,0,0.62004894018,0.58755844831,0.49876210093
198,arsonist,San Francisco,Serial arsonist gets no bail not jail release http://t.co/rozs6aumsS,1,1,0.9557120204,0.54547470808,0.39407488704000004
204,attack,Indianapolis,TexasÛªs Gratuitously Cruel Attack On A Dying GayåÊMan http://t.co/retdjqyCuB,0,0,0.30007076263,0.71543830633,0.65148431063
209,attack,Peru,To love you love you love you ... Massive Attack - Angel (HD) https://t.co/9TW34Gffox vÌ_a @YouTube,1,1,0.6456004977199999,0.028396427630000002,0.043386753650000005
211,attack,venezuela,RT: @rt_com :Tory attack on Freedom of Information is Û÷assault on govt accountabilityÛª ÛÒ Liberty http://t.co/UNmTOnz5c5 http://t.co/GTSbvveF,0,0,0.34541961551,0.70214515924,0.61578637362
215,attacked,UK,Newcastle: Schoolgirl attacked in Seaton Delaval park by 'pack of animals' led by a former friend http://t.co/4xbrVNib9T #newcastle,1,1,0.83347451687,0.27549406886,0.09278671443
216,attacked,,Aus need career best of @davidwarner31 along with Steve smith to even try competing.. SURA virus has attacked team Australia brutally,0,0,0.9279154539100001,0.16814377904,0.1756516546
233,avalanche,Turin,Photo: #Repost @gregskazphotography with @repostapp. åáåáåá @rainierarms Avalanche Ambi Charging Handle... http://t.co/t3dK3OoV7e,0,0,0.55672746897,0.48335674405,0.21229024231
237,avalanche,,PLUS PERFORMANCE CHIP FUEL SAVER CHEVY SILVERADO/AVALANCHE/BLAZER/TAHOE http://t.co/eocKbeOGm0 http://t.co/cvjCidgEZ7,1,1,0.08375284076,0.68306666613,0.57576090097
238,avalanche,"Denver, CO",Dorion: Sens looking for consistency from Hoffman #ColoradoAvalanche #Avalanche http://t.co/msK68XoY7T http://t.co/ykWKx0QKtX,1,1,0.08758756518,0.64266461134,0.36232566833
246,avalanche,Score Team Goals Buying @,Colorado Avalanche @ Anaheim Ducks 1-7 tickets 10/1 preseason http://t.co/XRU1WowZYG,0,0,0.27401939034,0.63689309359,0.56979966164
261,bioterror,"Washington, D.C., area",Latest fallout from biolab safety lapses: FedEx no longer will transport anthrax &amp; select agent research specimens http://t.co/4iOOyIbxyo,1,1,0.62752276659,0.34312179685000005,0.20365256070999999
263,bioterror,"Jacksonville, FL",FedEx stops shipping potential bioterror pathogens: FedEx Corp. (NYSE: FDX) will no longer deliver packages thatÛ_ http://t.co/CRD6tgIZhG,1,1,0.23299500346000002,0.5730229020100001,0.28459379077
269,bioterrorism,USA,Bioterrorism and Ebola. http://t.co/ORIOVftLK4 RT #STOPIslam #TCOT #CCOT #MakeDCListen #TeaParty,1,1,0.7926901578899999,0.49741300941000005,0.4967727363100001
272,bioterrorism,,@USCOURT If 90BLKs&amp;8WHTs colluded 2 take WHT F @USAgov AUTH Hostage&amp;2 make her look BLK w/Bioterrorism&amp;use her lgl/org IDis ID still hers?,1,1,0.52176403999,0.44213163853,0.65473395586
273,bioterrorism,,Bioterrorism : Guidelines for Medical and Public Health Management (2002) http://t.co/zkUXHnoBaG http://t.co/FHgkYxffu5,0,0,0.5484224557899999,0.1499825269,0.10881194472000001
274,bioterrorism,"Denver,CO USA",@bbcworld Bioterrorism drones can reach large populated erea.,1,1,0.64002645016,0.30754244328,0.22098931670000002
277,bioterrorism,,HST's Anthony Kimery Discusses #BioTerrorism on @Syfy Channel's 'Joe Rogan Questions Everything' #Pathogen #Virus http://t.co/0FDsc3f2IW,0,0,0.68912935257,0.18922734261,0.12608121336
279,bioterrorism,,@HarvardU If 90BLKs&amp;8WHTs colluded 2 take WHT F @USAgov AUTH Hostage&amp;2 make her look BLK w/Bioterrorism&amp;use her lgl/org IDis ID still hers?,1,1,0.52176403999,0.44213163853,0.65473395586
280,bioterrorism,Alaska,Uganda Seen as a Front Line in the Bioterrorism Fight,1,1,0.7977983951600001,0.40603947639,0.28921285272
281,bioterrorism,"Capitol Hill, Washington",Ppl living w/ HIV have been charged with aggravated assault and bioterrorism for things w/ low or no risk of transmission. #HIVIsNotaCrime,1,1,0.6344408989,0.45452964306000004,0.52703166008
283,bioterrorism,,@GACourts If 90BLKs&amp;8WHTs colluded 2 take WHT F @USAgov AUTH Hostage&amp;2 make her look BLK w/Bioterrorism&amp;use her lgl/org IDis ID still hers?,1,1,0.52176403999,0.44213163853,0.65473395586
318,bleeding,??????????? :P,#Nepal: This house near TIA bleeding intÛªl airline companies dry. | http://t.co/lI8wi1kuMY,1,1,0.11170059443,0.7604458928100001,0.6614774465600001
328,bleeding,,@Aichmomanic wraps a cloth on my wound but it's still bleeding 'I'll be ok.' Falls to the ground as if I'm going to die,1,1,0.35233339666999997,0.55200076103,0.6896706819499999
345,blew%20up,,That stadium blew up!!,1,1,0.52478510141,0.19391337037,0.23153430223000002
352,blight,"Eldora, IA",Help fight Northern Corn Leaf Blight with Headline Amp https://t.co/LVoqPgkLI7,1,1,0.36023840308,0.70863074064,0.50315833092
356,blight,"Columbus, Ohio",Cleveland Heights Shaker Heights fight blight - http://t.co/qRnyme33TC via @clevelanddotcom,0,0,0.13511967659000002,0.56103980541,0.41849046946
361,blight,Connecticut,Member Post: Norwalk blight ordinance said to be success as properties change hands http://t.co/ZDwmKQEYBn,0,0,0.50278478861,0.10971364379000001,0.05942009017000001
396,bloody,Singapore,Whats the bloody use of the bus app if everything has no prediction? No one driving bus today? http://t.co/zvGrM5PGZa,0,0,0.1541582346,0.50125819445,0.48330366611000003
419,blown%20up,,@DodgersNation he was due to get blown up at least this is still a winnable game.,0,0,0.21569055319000002,0.35610097647,0.56226629019
422,blown%20up,,We are now up to run no. 24 in the singles. The rain has blown off again.,0,0,0.51246011257,0.21223078667999998,0.16194759309
458,body%20bagging,10 hours from pluto,I hear my up north niggas body bagging this but you never know. That got some spitters down south andÛ_ https://t.co/XToioGtk2w,0,0,0.5482544899,0.39170277119,0.46022441983
464,body%20bags,Yemen,RT Hamosh84: This how the #Saudi is coming home from #Yemen in body bags. For what? #Saudi Kingdom ego? You're looÛ_ http://t.co/LJlKWGXgjY,1,1,0.26819711924,0.8094848394399999,0.55831480026
477,bomb,Oakland,@jonathanshainin I think the bomb raises all sorts of great questions but this isn't one of them,0,0,0.61493360996,0.13266266882000002,0.11988890915999999
480,bomb,"Long Beach, Dublin, Amsterdam",@johncusack text: We Dropped The A-Bomb (1946)https://t.co/boJCX32qcZ Û_,1,1,0.7132464051199999,0.35247546434,0.34399846196
487,bombed,,Photo bombed by a princess http://t.co/i4PthsuYQ9,0,0,0.20898288487999997,0.57629275322,0.46440455317
493,bombed,#uniteblue,@allenpeacock the deal is clear.Iran either agrees to the deal and abandons it program or gets bombed.it's a deal the right wing should love,0,0,0.69246304035,0.09932175279,0.06120561062999999
521,bridge%20collapse,"manchester, UK",Shane Warne and Ricky Ponting shocked by Australia batting collapse at Trent Bridge http://t.co/b5zPfW7Vo0,1,1,0.4696837663699999,0.81584113836,0.48541691898999995
524,bridge%20collapse,United Kingdom,#Sport - Shane Warne and Ricky Ponting shocked by Australia batting collapse at Trent Bridge Australian grea... http://t.co/c41iUMknis,0,0,0.50377011299,0.68701118231,0.46409285069
527,buildings%20burning,y/e/l,THIS SOUNDS LIKE A SONG YOU WOULD HEAR IN A MOVIE WHERE THEY ARE WALKING AWAY FROM BURNING BUILDINGS AND CARS AND SHIT,0,0,0.68785691261,0.28606781363,0.3915814161300001
530,buildings%20burning,The Triskelion,this is like when folks said ÛÏburning down buildings doesnÛªt workÛÛ_onlyÛ_it did. now cities trying to get information out ASAP to prevent it,0,0,0.67692154646,0.39515748619999996,0.31956031919
536,buildings%20burning,New Jersey,@speechgirlAM On par with caring for the sick helping people move not talking during movies rescuing people from burning buildings...,1,1,0.77026867867,0.45467725396,0.36949285865000003
538,buildings%20burning,,The fire brigade should play this guys music at burning buildings to put the flames out,0,0,0.56887793541,0.44983577728,0.38379615545
540,buildings%20burning,US of Eh,.@denisleary Not sure how these folks rush into burning buildings but I'm grateful they do. #TrueHeroes,1,1,0.7215198874500001,0.44071263075000006,0.46948227286000005
542,buildings%20on%20fire,"Mighty Tempe, Arizona",Failure doesnÛªt exist. ItÛªs only a change of direction' - Alejandro Jodorowsky (via buildings-on-fire) http://t.co/ByMVemW4xF,0,0,0.26411038637,0.6077866554300001,0.57872080803
546,buildings%20on%20fire,Fallen TX,It's a testimony to the human spirit that more of us don't set fire to our office buildings on Sunday night.,0,0,0.7620049715,0.5827139616,0.29903483390999996
561,burned,"Dallas, Texas",Let me tell you Brandace brought it today at #NTC! Heat and all...we survived! Burned over 500Û_ https://t.co/ILfd6wcGqg,1,1,0.76224279404,0.25918468833,0.5510348081600001
572,burned,"New Jersey, USA",@AdamRubinESPN I know we have been burned just a week ago in a similar spot but getting @MattHarvey33 out o just 88 pitches save some inn,0,0,0.73305481672,0.24125935136999999,0.20167061686999999
584,burning,daily ? 18 ? ?,RT: A real burn book entry about CA: why the fuck is this place always BURNING,0,0,0.8038371801399999,0.087701343,0.07697333395
587,burning,London,The Arab autocracies: Burning down their house http://t.co/xcjRamGQ22 via @TheEconomist,1,1,0.55562698841,0.42306545377,0.2785538733
595,burning%20buildings,"Dublin City, Ireland",@RockBottomRadFM Is one of the challenges on Tough Enough rescuing people from burning buildings?,1,1,0.91058713198,0.40684583783,0.5500771999399999
600,burning%20buildings,US of Eh,.@denisleary Not sure how these folks rush into burning buildings but I'm grateful they do. #TrueHeroes,1,1,0.7215198874500001,0.44071263075000006,0.46948227286000005
602,burning%20buildings,San Francisco,? High Skies - Burning Buildings ? http://t.co/uVq41i3Kx2 #nowplaying,0,0,0.61399412155,0.5561608076100001,0.49090486765
604,bush%20fires,The Internet & NYC,When you attack PP you attack women's health &amp; when you attack women's health you attack America's health.' http://t.co/HXdG24MCQg,1,1,0.15806803107,0.8075787425,0.81568610668
610,bush%20fires,"Dubai, United Arab Emirates",[WATCH] Mother Nature halts Australia Blue Mountains bushfire http://t.co/xxA4rmFZ01,1,1,0.9918461442000001,0.38145697117,0.31331419945
611,bush%20fires,$$$,@jiminswang i was about 2 say bush fires in aus but the reason is hot,1,1,0.9627709388700001,0.45642620325000005,0.62940853834
616,bush%20fires,;),All these Eugene fires gotta make you think.... Hashtag conspiracies hashtag population control hashtag bush did it,1,1,0.91833764315,0.31572204828,0.27915111184
617,casualties,Ellixton London's 33rd Borough,Warfighting Robots Could Reduce Civilian Casualties So Calling for a Ban Now Is Premature http://t.co/yvYgTcAz7k,0,0,0.48033714294,0.80543708801,0.8339338898700001
618,casualties,,lets hope this concert ends with zero casualties amen,0,0,0.78701335192,0.48615464568000005,0.50009030104
636,casualty,,Georgian wines have become a casualty in Russia's political campaign against the Ukraine: http://t.co/wCo724AmPl,0,0,0.43353241682,0.70249372721,0.8225670456899999
639,casualty,"Cambridge, MA",Documenting climate change's first major casualty http://t.co/5QMvEwDgiS via @GreenHarvard http://t.co/NmtWI59MU4,1,1,0.8759421110200001,0.62771242857,0.48473334312
656,catastrophe,"Manhattan, NY",@twlldun @peterjukes It's a very good piece. And I agree the failure of post-war planning was the catastrophe.,0,0,0.6024877429,0.2483767271,0.20235200226
663,catastrophic,,Something Catastrophic Is Coming: Should We Tune Out? http://t.co/iTkCRpqgn0,0,0,0.30506396294,0.50330084562,0.5129064321500001
671,catastrophic,US,#CANCER : everything seems catastrophic you feel you can not be worse. Hit rock bottom. You recover. You start again. After a while got it,0,0,0.06958386302,0.42957916856000006,0.75972735882
672,catastrophic,united states,Jim Rickards Blog: Catastrophic Outcomes May Come Faster Than Expecte... http://t.co/czEgzbnJ4x http://t.co/B53yr0ccmX,0,0,0.66060996056,0.3132699728,0.20622304082000004
674,catastrophic,Leanbox?,@_LalaDeviluke - consequences could have been catastrophic. I was also informed by the security A.I *Mute that you were primarily -,1,1,0.52769315243,0.4133900404,0.51638805866
687,chemical%20emergency,UK,Rossendale: Emergency services called to Bacup after 'strong' chemical smells http://t.co/hUDTl2HdSV #rossendale,1,1,0.97347640991,0.61506575346,0.49314346909999995
690,chemical%20emergency,,@bendwavy emergency chemical rinse,1,1,0.48485562205,0.44145190716000005,0.59386432171
702,cliff%20fall,,"Video: Man rescued after 80ft cliff fall at Shaldon
Read more: http://t.co/efQCLTEVlr http://t.co/4gQy7ziMfC",1,1,0.7791737318,0.43905544281000003,0.28922310472
707,cliff%20fall,,@NTSouthWest Looks very tasty but the problem is the cliff might fall into the sea due to coastal erosion so it would be crumbly then,0,0,0.21511366963000003,0.6520484089899999,0.6877853870399999
710,collapse,,http://t.co/dOg9bw1eCW Correction: Tent Collapse story #HNLnow,1,1,0.77875071764,0.57028216124,0.41409090161
711,collapse,Narbin city,Correction: Tent Collapse Story http://t.co/CMbNMvVDKl,1,1,0.7876739502,0.5757088661199999,0.46640762687
720,collapse,Earth,.@ArneJungjohann #Energiewende is directly responsible for the collapse in energy value. http://t.co/NxvjPj610W,1,1,0.25020679832,0.5625044107399999,0.22286210954
721,collapse,Batam,#ROH3 #JFB #TFB #alrasyid448ItuRasya Correction: Tent Collapse Story http://t.co/xsnJi8EJRl ROH3 SmantiBatam #ROH3SmantiBatam,1,1,0.5148634910600001,0.63687855005,0.43463492393
734,collapsed,"Jersey City, NJ",@michaelgbaron Panic City has collapsed. Party City is in full swing!,0,0,0.6072077155100001,0.40109583735,0.31339040399
735,collapsed,,@JessicaLauraxo grandma collapsed and died,1,1,0.11674833298000001,0.5875569582,0.55365753174
736,collapsed,Hong Kong,3-pronged inquiry launched into collapsed #HongKong furniture retailer DSC http://t.co/Tg3ukIsgEN @scmp_news http://t.co/An5LpimNfA,1,1,0.52164489031,0.57379919291,0.27167123556
737,collapsed,Tampa Bay,Official: Crowd in tent that collapsed was told to stay put: LANCASTER N.H. - Circus workers first told spectatorsÛ_ http://t.co/yRQgASn0JG,1,1,0.9351648092299999,0.46407115459,0.37387290596999995
770,collision,,that collision daaamn,1,1,0.6883399486499999,0.27746537328000004,0.5739135146100001
772,collision,"Riverside, CA",Riverside I15 N Sr91 E Con / I15 N Sr91 W Con **Trfc Collision-Unkn Inj** http://t.co/QqMLKvgPQk,1,1,0.9160531163200002,0.47511363029,0.40245065093000004
780,crash,PPCC,Crash,0,0,0.05821818113,0.41497248411,0.62440007925
782,crash,The New Way To Surf!,Non-Power 5 Schools with Best Shot to Crash College Football Playoff http://t.co/Wj5EMRNkYi,0,0,0.24694392085,0.6575742960000001,0.58971345425
786,crash,Vancouver,#portmoody Clarke Rd hill n/b blocked by crash past Seaview traffic back to Kemsley. Take Como Lake to Gatensbury to get around it.,1,1,0.44031092525,0.9552257061,0.8337776064899999
789,crash,Los Angeles,.@Emily_Noel95 @SterlingKnight @joeylawrence @ABCFmelissajoey that car crash was pretty fun to film #melissaandjoeychat,0,0,0.66789591312,0.44295045733000005,0.26671946049
791,crash,"Indian Trail, North Carolina",The Crash And A New Depression ÛÒ The Seeds For The Next Crisis Have Already Been Sown http://t.co/IsN9HdZ4cp,0,0,0.47615745664,0.68696194887,0.31876274943000005
797,crashed,"Pleasantville, NY",@RosanneBarr New documents suggest Clinton's email server may have crashed. All of her fan mail from Qatar must have crashed it.,0,0,0.6984636783600001,0.3586640656,0.21029372513
855,cyclone,,The revival of Cyclone Football begins today!! Be there September 5th!!,0,0,0.29463142157,0.56722384691,0.59620320797
856,cyclone,"Melbourne, Australia",An Appeal By Cardinal Charles Bo SDB ( CNUA) Dear Brothers and Sisters The recent cyclone and the massive... http://t.co/bLgH5bTV8T,1,1,0.9835371971100001,0.52681225538,0.39018502831
860,cyclone,"Brooklyn, NY",First time for everything! @ Coney Island Cyclone https://t.co/SdNT3Dhs3W,1,1,0.07465794682999999,0.61388993263,0.57139933109
861,cyclone,Sittwe,@Aliyeskii @wquddin @tunkhin80 @MaungKyawNu @drkhubybe @nslwin @ibrahimdubashi @mdskar @zarnikyaw @kyawthu043 After cyclone,1,1,0.6771566867800001,0.36713865399000006,0.46338102221
865,cyclone,United Kingdom,Waige driving like a Badass #ScorpionPilot #Cyclone @ScorpionCBS,1,1,0.09622454642999999,0.5729744434399999,0.51084107161
869,cyclone,"Mansfield, Ohio","#LocalEventCountdown:
8. Curtain opens on The Black Cyclone in Shelby tickets &amp; info: http://t.co/v7dCz5DJDj #rstoday",0,0,0.78220117092,0.24696445465,0.47344467044
891,danger,N 32Ã¥Â¡39' 0'' / W 97Ã¥Â¡16' 0'',@Fresenius Said I put patients lives in danger and at the same time this is whats happening. Same like this is a bigger violation than PPE,0,0,0.66000765562,0.40800726414000005,0.41485729814000005
893,danger,"Brinscall, England",@unitedutilities not happy I received text now about #Parasite danger.I am a #transplantee &amp; #Virus can kill #kidney https://t.co/9AasSFrdP1,1,1,0.65849041939,0.15618044138,0.1182179302
903,dead,65 Skelmersdale Lane,Nooooo the village hotty is dead ???????? #Emmerdale,0,0,0.12930840254,0.59159600735,0.52189832926
920,death,,This wall is going to be the death of me...due to the years of water leaks and lack of maintenanceÛ_ https://t.co/PVd2fYBa0q,0,0,0.43144381046,0.62974911928,0.7494705319399999
921,death,,The Iran Deal Will Result In Terrorism And Death | Truth Revolt http://t.co/xrG0FacL6T,1,1,0.46888011694,0.73441058397,0.8165768981
924,death,,A single death is a tradery many deaths is statistics.,1,1,0.42472437024000004,0.51623976231,0.5846978426
925,death,"Manchester,England",#Spirituality - Born Again-Spiritual Awakening And Near Death Experiences http://t.co/Z0UGKqi6kM @Charlesfrize @Frizemedia @Dynamicfrize,0,0,0.22960999608000002,0.7395316958399999,0.55271959305
928,deaths,Does it really matter!,Deaths 2 http://t.co/4A1fSwePpg,0,0,0.10629546642000001,0.7135735154199999,0.64350771904
929,deaths,In my baby with pie,@betrayedhunter reading he paused as he came across a couple of deaths and began to read deeper into it.,1,1,0.22896814346,0.67291545868,0.72114789486
930,deaths,Does it really matter!,Deaths 5 http://t.co/0RtxTT11jj,0,0,0.10629546642000001,0.7135735154199999,0.64350771904
931,deaths,"Kampala, Uganda",Bigamist and his 'first' wife are charged in the deaths of his 'second' pregnant wife her child 8 her motherÛ_ http://t.co/t5HwUnjK7g,1,1,0.49571341276,0.5710439086,0.50128799677
932,deaths,ICO Arkansas,HEALTH FACT: Women account for 39% of smoking deaths. http://t.co/fSx2H9XAkI,0,0,0.2526062727,0.5106651783,0.61218988895
933,deaths,"Prague, CZ, the Planet of Fans",@1outside in the series the deaths seemed one right after another but in the book it seems a month or more will pass after the death of Liz,0,0,0.35780158639,0.46385365725,0.66617101431
934,deaths,,@tim55081 @BootlegAlbano @ShaunKing I know. He profits off the deaths of the people he claims to be fighting for. He makes me sick.,0,0,0.27166229486,0.6265386343,0.85240852833
960,deluge,Republic of Harper,A decade-long billion-dollar deluge of 'messages' from the government of Canada. #HarpersLegacy,0,0,0.64778971672,0.41898393630999997,0.29036208987
982,deluged,Austin,"deluged dismay so
soon surrendered summer drought
descending disturbed

#sunrise#haiku #poetry #wimberley #atx#smtx http://t.co/z9FDebg5Fm",0,0,0.22660645843000002,0.78361952305,0.60864841938
988,demolish,"Tulsa, OK",Contractor hired to demolish Goodrich plant in Miami files for bankruptcy - Tulsa World: Manufacturing http://t.co/uk7YwsvMgA,0,0,0.62875247002,0.34634023905,0.18938030303
996,demolish,,Enugu Government to demolish illegal structures at International Conference Centre http://t.co/bq67uDctjc RT,0,0,0.75045192242,0.42653524876000004,0.3903657794
998,demolish,,No Shane I'm sorry you are wrong. You were propagating that an all out attack would demolish England #reversal,1,1,0.63995081186,0.28369554877,0.40352094173
1001,demolished,Your Backyard,Historical Bigfoot Landmark Soon To Be Demolished: The Bluff Creek Resort Store pictured above in 1976 was t... http://t.co/TW0SEv1N6C,0,0,0.36051741241999996,0.7808911800399999,0.52088934183
1013,demolished,India,Uttarakhand: Journalist's house demolished who exposed corruption - Oneindia http://t.co/Ro1aWWuDYE,1,1,0.76809597015,0.56674593687,0.44878560305
1024,demolition,"San Diego, CA",De-watering demolition defends against flooding http://t.co/dTO0ULjxn3,1,1,0.44530898333,0.96424639225,0.8127686381300001
1027,demolition,cyberspace,Canberra's Currong Apartments marked for demolition in September http://t.co/ZyRR8DzJx6,0,0,0.34448873997,0.7382319569600001,0.49529749155
1028,demolition,,General News Û¢åÊ'Demolition of houses on waterways begins at Achimota Mile 7 ' via @233liveOnline. Full story at http://t.co/iO7kUUg1uq,1,1,0.49921864271000005,0.53996503353,0.50322526693
1030,demolition,"New York, New York",Demolition Means Progress: Flint Michigan and the Fate of the American Metropolis Highsmith https://t.co/fj7p8A1hvM,1,1,0.61899781227,0.48135122656999996,0.40837797523
1033,demolition,,Problem motel nears demolition http://t.co/fKx4IH7kM1 http://t.co/n8VcxGyhQ8,0,0,0.41149199009000004,0.70445752144,0.5562099814399999
1036,demolition,Wherever the #Sooners are,Demolition underway on @OU_Football stadium project. Stay updated throughout at http://t.co/ju09z2y7g0 http://t.co/UP0hOCgGrj,0,0,0.31260406971,0.56928479671,0.28762844205
1050,derail,Washington DC,Do people even ride Metro any more? http://t.co/Nb8yzecI6i #whywebike #bikecommute #DysfunctionalRedLine #WMATA,0,0,0.26618272066,0.8207491636300001,0.63113647699
