id,keyword,location,text,target,Correct Prediction,LSTM-71bd09db,LSTM_DROPOUT-d3cc3c6e,BI_LSTM-8b7db91c,LSTM_CNN-8b7db91c,FASTTEXT-b054e509,RCNN-7bc816a1,CNN-b054e509,RNN-1258a9d2,GRU-b054e509,HAN-a85c8435
77,ambulance,Happily Married with 2 kids,AMBULANCE SPRINTER AUTOMATIC FRONTLINE VEHICLE CHOICE OF 14 LEZ COMPLIANT | eBay http://t.co/7X3PDDbT0Z,1,1,0.5532147288,0.208725065,0.14304316039999998,0.08138391376,0.10134181380000001,0.21788725260000003,0.06510910392000001,0.2882570028,0.06813594699,0.1689519137
78,ambulance,born on september 1st,@disneyxrowbrina the ambulance isn't even parked well like its nearly on top of someone's car I'm laughing,0,0,0.5311372876,0.4864357114,0.1274309456,0.13546758890000002,0.31721603870000004,0.2263582945,0.3850784898,0.1293990016,0.1875131428,0.3019101918
83,ambulance,World,2 held with heroin in ambulance http://t.co/d9sOwi1G21 http://t.co/OPxmdPIwAu,1,1,0.3956690133,0.5267776250999999,0.35267654060000003,0.3542423844,0.5976950526,0.1956344545,0.6352431178,0.3943908811,0.5023508072,0.6434204578
85,ambulance,"West Chester, PA",Why should a helicopter ambulance ride to transfer to a hospital 21 miles away cost $29800? http://t.co/7ZqIreY7Te http://t.co/9Qp3PqPwZv,1,1,0.6402444839,0.43799501659999995,0.891957283,0.6180599928,0.5509768128,0.7558232545999999,0.5813062190999999,0.6473511457,0.2572108507,0.6426255703
87,annihilated,,The bartender at work described a drunk man as annihilated @kdunning1919 @hsnowberger @gabrielasmith29. 16 more days,0,0,0.6028884649,0.5062570572,0.11573368310000001,0.1574337482,0.5065155625,0.1393684447,0.4635730088,0.1440905631,0.46443516020000003,0.3837684393
104,annihilation,,"Allied Plans for the Annihilation of the German People http://t.co/RUHxGlo18q
http://t.co/HbUpkzWdWq
Louis Nizer - Very interesting...",0,0,0.5105742811999999,0.6675608157999999,0.1837546825,0.1911352575,0.4569510221,0.3019060493,0.44565695520000004,0.44741109009999996,0.5194629431000001,0.4175994694
105,annihilation,"Yeezy Taught Me , NV",Please share and sign this petition to save wild horses in Arizona. http://t.co/3tsSXPHuFE,0,0,0.1623987257,0.4794242382,0.2329304814,0.16913375260000002,0.397439748,0.2943326235,0.5020675659,0.34940385820000003,0.20813173059999998,0.45213997359999997
108,annihilation,High Desert,***Latest Updates on the Salt River Wild Horse Round-up*** https://t.co/WJsCdvCevH via @Change,0,0,0.7852281928,0.8619812726999999,0.9364540577,0.6048300266,0.35585519670000004,0.5917976499000001,0.578209281,0.6234812737,0.5017783642,0.7903427482
112,annihilation,,RT SIGN URGENT Stop the Annihilation of the Salt River Wild Horses!!! #savewildhorses #saltriverhorses https://t.co/8AZjFF8eSi,1,1,0.7029531598000001,0.5845662951,0.7734029293000001,0.3412131667,0.4387018681,0.5066990852000001,0.4172748923,0.5961334109,0.460403502,0.6423982978
116,annihilation,"Wayne, NJ","@INCIndia under Sonia Gandhi is like Pakistan. Every defeat is treated like a victory.Total annihilation only answer
http://t.co/KtTYiTOw64",0,0,0.7121324539,0.7423182726,0.1495559216,0.2092473507,0.5023286939,0.300750941,0.3353966773,0.42324045299999996,0.5134802461,0.36405134200000006
119,annihilation,,Stop the Annihilation of the Salt River Wild Horses!!! https://t.co/546utTXzAm via @Change,0,0,0.6388876438000001,0.5887351036,0.5557127595,0.5591341853,0.392236352,0.7037090659,0.4061340988,0.531473875,0.4792522192,0.5343317389
132,apocalypse,,"Apocalypse no! Why artists should not go into the #Fukushima exclusion zone 
http://t.co/3zqL0qbLUw
#nuclear #ura",1,1,0.1768980324,0.3158279955,0.9018505812000001,0.4993298054,0.38796332479999995,0.6290071011,0.48028370740000004,0.5570856332999999,0.1956671178,0.2210723013
138,apocalypse,"Irvine, CA",|LIVE NOW| Princes of the Apocalypse: D&amp;D Encounters #meerkat http://t.co/oY9ES9FVlt,0,0,0.5667615533,0.3646927476,0.41124150159999995,0.1892210245,0.3323471546,0.1368351281,0.3080937266,0.30270046,0.2560447156,0.2460450828
142,armageddon,1996???????????,UNIVERSAL ORDER OF ARMAGEDDON http://t.co/3tY4mGm,0,0,0.6928440331999999,0.6529353261,0.3078538179,0.18679875140000002,0.3909834623,0.15186125039999998,0.4457722604,0.35867363210000003,0.16352421050000002,0.4604197145
146,armageddon,,#Turkey invades #Israel - Halfway to #Armageddon http://t.co/xUOh3sJNXF,1,1,0.7192451954000001,0.8954713941,0.9256883264,0.26883924010000004,0.602642715,0.355376184,0.5496221781,0.5514737964,0.403709054,0.6296386719
149,armageddon,,"#MustRead: Vladimir #Putin Issues Major Warning But Is It Too Late To Escape Armageddon? by @PCraigRoberts #US #Rus
http://t.co/5GFhfCIjrF",1,1,0.7260923981999999,0.8389932512999999,0.939478755,0.3992852569,0.6806820631,0.7563843726999999,0.48170661929999997,0.6418415904,0.6425085664,0.6203623414
151,army,Studio,If you build an army of 100 lions and their leader is a dog in any fight the lions will die like a dog.,0,0,0.2742055655,0.2523906231,0.3508470058,0.23441556100000002,0.28099322320000003,0.5368266702000001,0.21779364350000002,0.280790031,0.1373530328,0.1173823699
157,army,,VICTORINOX SWISS ARMY DATE WOMEN'S RUBBER MOP WATCH 241487 http://t.co/q6VCJaTfjx http://t.co/m1cpEw7kbh,1,1,0.34010076520000004,0.5929192305,0.6914879084000001,0.22858029600000002,0.437967062,0.2809773088,0.1940358579,0.6689456701,0.1792717278,0.4655808806
158,army,"Bowling Green, Ky",Hope the Salvation Army at least gave you a tax receipt. https://t.co/Ir9c545rZy,0,0,0.5236336589,0.7582507132999999,0.8318470715999999,0.6061165929,0.5131072997999999,0.38289311530000003,0.5381391644,0.5131123662,0.3909692764,0.558542788
162,army,"Logansport, Indiana",Check out more data on Upper Wabash reservoirs here on @LouisvilleUSACE site: http://t.co/hqqLQUqZmD,0,0,0.1352730393,0.20673361420000003,0.09172415732999999,0.1230843961,0.2598188818,0.1516874135,0.5108086467,0.08032128214999999,0.1655015945,0.2278237492
163,army,Rexburg ID,"ANSWER:
'Therefore it came to pass that in my sixteenth year I did go forth at the head of an army of the... http://t.co/uuAAsb394n",0,0,0.5053752660999999,0.4419291615,0.3267248273,0.4042285979,0.5962635279,0.2469104528,0.49692335719999997,0.2891851068,0.2689391375,0.2547211051
170,arson,West Michigan,@pnuts_mama Be strong. It's at times like this that arson happens. Push thru past the felony stage.,0,0,0.5058616996,0.6810327768000001,0.5300105214,0.5733909011,0.4453050196,0.6739481688,0.38060924409999997,0.2224406004,0.5275645852,0.4020356834
173,arson,"Chicago, IL",RT @an_opus: Elliott will be on probation for two years and will have to pay fines up to $1179. http://t.co/72bcyfbTj3,0,0,0.2361344993,0.4229326844,0.605179131,0.2150048018,0.3822061121,0.27091306449999997,0.3401375711,0.41880598659999996,0.3857647479,0.46754363179999997
174,arson,"Saginaw, Mich.",RT Saginaw - Police sketches of 2 'persons of interest' in Saginaw arson http://t.co/a2tZJ07nId http://t.co/LvtP5MHjaG,1,1,0.8572130203,0.9302175045000001,0.8801665306,0.7428687215,0.7347234488,0.4721002579,0.6801580787,0.6775860786,0.7030344009,0.8444686532
175,arson,USA,Fire That Destroyed Charlton Winery Ruled To Be Arson http://t.co/4a9l0jrMYB,1,1,0.2879709601,0.8188904523999999,0.9381359220000001,0.5166243911,0.5186450481,0.47273188829999996,0.38799676299999997,0.47019732,0.2960655689,0.6083886623
176,arson,,WEHTWTVWlocal: Trial date set for man charged with arson burglary. https://t.co/eUk7lKS11r,0,0,0.42075511810000005,0.5075756907,0.38261222840000003,0.7652286291,0.4780670999999999,0.7962903379999999,0.5168918967,0.45868644119999996,0.2703984082,0.4146791399
177,arson,"Lawrence, KS",Man charged in connection to Shawnee arson and burglary: OLATHE Kan. ÛÓ A man was in court Wednesday accused ofÛ_ http://t.co/zcXmQoKtZ1,1,1,0.8069753647,0.8817070723,0.6958566904000001,0.3398586512,0.7604069114,0.6014847159000001,0.5132548809,0.3352763653,0.6663324833,0.6734781861
182,arson,EARTH,#LGBTQ News ?? Owner of Chicago-Area Gay Bar Admits to Arson Scheme: Frank Elliott pleaded... http://t.co/sGb9vNWqUx Via @TheAdvocateMag,1,1,0.7273640633,0.4678247571,0.5880204439,0.379835099,0.1704395413,0.6073099375,0.1930806339,0.4237771332,0.12475347519999999,0.4316522479
184,arsonist,"3rd terrestrial planet, Sun",Contra Costa Co. authorities arrest suspected serial arsonist: Authorities believe thatÛ_ http://t.co/bzCmzM7bi5 | http://t.co/LBQldyKgdp,1,1,0.7653585672,0.8646913767000001,0.6824515462,0.5981030464,0.5165213346,0.7834051847,0.7416056395,0.5253674388,0.3231726289,0.531044364
189,arsonist,"Nanaimo, BC",Arsonist torches a house himself and his getaway vehicle police say - Surrey Leader http://t.co/q0J5lTVD6k @RichardGEarl,1,1,0.4386148453,0.6991844177,0.5963166952000001,0.6170379519,0.6228346229,0.7827197909,0.5533605814,0.5874347091,0.3694878817,0.406425029
191,arsonist,"Dorset, UK",Hotel arsonist who caused å£70000 damage was Û÷crying for helpÛª: An arsonist has been jailed after a court hear... http://t.co/HNGDdBhewa,1,1,0.7787224054,0.6630768776,0.49494013189999997,0.4382115602,0.7658114433,0.5496610403,0.7321594954,0.48198151590000005,0.53270787,0.5847299099000001
193,arsonist,"Toronto, Canada",ARSONIST Mc - CHRIST WALK http://t.co/D8LQHiGjT0 #Toronto #Columbus #Gospel,0,0,0.6160217524,0.6526883841,0.4860267043,0.43905508520000003,0.5393896699,0.5451861024,0.7668042183,0.5394993424,0.26154226059999997,0.4875287712
196,arsonist,"San Luis Obispo, California",Suspected serial arsonist arrested in NorCal http://t.co/Dty4t75CGu http://t.co/MjxbygejyL,1,1,0.7750246525,0.9271963834999999,0.9090306162999999,0.5728462338,0.7023780942,0.38399967549999997,0.8917303681000001,0.5854281187,0.7593481541,0.7581107616
197,arsonist,,Surveillance Video Captures Man Removing American Flag From Long Beach Home ... - KTLA http://t.co/g0o9wiAgHu,0,0,0.6552253365999999,0.7316756248,0.703656733,0.2983555496,0.6527000070000001,0.48785537479999996,0.7567222118000001,0.48784714939999996,0.5076396464999999,0.6730997562000001
198,arsonist,San Francisco,Serial arsonist gets no bail not jail release http://t.co/rozs6aumsS,1,1,0.3114168048,0.5187976360000001,0.2663633227,0.293287307,0.4238145947,0.2743686438,0.2572017908,0.39642500880000003,0.191835165,0.3787750006
202,attack,Maryland,End the Innovation Catch-22: Reduce the Attack Surface http://t.co/Gj4SSEhk1D #INDUSTRYINSIGHTS #mcgsecure,0,0,0.4246090353,0.6985098124,0.4985393882,0.6122518778,0.6042803526,0.7545762062000001,0.8145900965,0.49878698590000003,0.6410976648,0.38401442770000005
204,attack,Indianapolis,TexasÛªs Gratuitously Cruel Attack On A Dying GayåÊMan http://t.co/retdjqyCuB,0,0,0.5646270514,0.623811245,0.45938128229999997,0.6254182457999999,0.4641879797,0.4580642581,0.7037899494,0.2364468277,0.35410189630000005,0.4764990807
205,attack,Worldwide,Cooper the Super Pooper. The hero dog who saved me from drowning and detected my heart attack before I knew it. TheÛ_ http://t.co/hzzADcnhFF,0,0,0.5223985314,0.3033640087,0.29968720670000004,0.2801230848,0.181871742,0.6901575326999999,0.14588728550000002,0.2878211439,0.09919556974999999,0.12403002380000001
206,attack,,Double ebony attack http://t.co/33V0RLlrKf #Black-haired #Blowjob http://t.co/t7TG3nRBje,0,0,0.33812734479999995,0.6593378186,0.23793113230000001,0.2329182923,0.4583911002,0.1730115414,0.5343356729,0.3287611604,0.3518678844,0.3705562949
208,attack,,#People #Tilly the #Confused Cat Overcomes Horrible Attack to Win Hearts http://t.co/QtrsYxFzo3,1,1,0.5023799539,0.7283607125,0.607606113,0.1344723701,0.5265191197,0.7506198882999999,0.5309379101,0.5706865191,0.5313971043,0.45603317020000006
211,attack,venezuela,RT: @rt_com :Tory attack on Freedom of Information is Û÷assault on govt accountabilityÛª ÛÒ Liberty http://t.co/UNmTOnz5c5 http://t.co/GTSbvveF,0,0,0.7905173898000001,0.7638007402,0.6746391058,0.2689124942,0.5795616508,0.6607550382999999,0.6881058216,0.40213367340000006,0.6067487000999999,0.6061722636
215,attacked,UK,Newcastle: Schoolgirl attacked in Seaton Delaval park by 'pack of animals' led by a former friend http://t.co/4xbrVNib9T #newcastle,1,1,0.6943458915,0.5081241131,0.1669037044,0.1175566316,0.5243688226,0.14866146449999998,0.3684889078,0.3198136985,0.577988863,0.5218005179999999
226,attacked,"Helsinki, Finland",@LogitechG BUT THEN THE FIRE NATION ATTACKED....,0,0,0.46089434619999997,0.2623301148,0.19252234699999998,0.19613358379999998,0.4408368766,0.4683977962,0.7448413372,0.1233609915,0.3914392889,0.5652772784000001
228,attacked,"Nashville, TN",Metro Nashville Police - simply the best. Thank you for protecting us. 911 call: http://t.co/ZWIG51QECF via @AOL,0,0,0.7129507065,0.8239979744,0.9187952876000001,0.3001701832,0.7205924988,0.7948304415,0.5176840425,0.5875948668,0.6160327792,0.3989081383
230,avalanche,,Car Receiving tube Installation for Avalanche Sound Output HHw,0,0,0.48273375630000004,0.7040576934999999,0.488125205,0.16938751940000002,0.311606288,0.278124243,0.1817784905,0.24406245350000003,0.1224223673,0.6013413072
236,avalanche,,http://t.co/p5PnsRPH5G -RARE VINTAGE COLLECTABLE WINDRIVER AVALANCHE EDT 60ML SPRAY FOR MEN#Deals_UK http://t.co/wkZIYnyyrY,0,0,0.4063673019,0.5713310242,0.4582840204,0.3725202978,0.4418474734,0.5867457986,0.42212164399999996,0.5960558057,0.2241617441,0.37591278549999996
237,avalanche,,PLUS PERFORMANCE CHIP FUEL SAVER CHEVY SILVERADO/AVALANCHE/BLAZER/TAHOE http://t.co/eocKbeOGm0 http://t.co/cvjCidgEZ7,1,1,0.41786172990000003,0.661999166,0.44343924520000005,0.23675027489999997,0.3711829782,0.2380996048,0.2475338578,0.4151224792,0.31233215329999997,0.3845824599
238,avalanche,"Denver, CO",Dorion: Sens looking for consistency from Hoffman #ColoradoAvalanche #Avalanche http://t.co/msK68XoY7T http://t.co/ykWKx0QKtX,1,1,0.3528817892,0.4862526059,0.1811254621,0.1944113672,0.49356371159999995,0.33609819409999997,0.5481542349,0.39089056850000004,0.5208238363000001,0.5041475892
241,avalanche,Score More Goals Buying @,2 TIX 10/3 Frozen Fury XVII: Los Angeles Kings v Avalanche 216 Row:L MGM Grand http://t.co/qyCwho8guN,0,0,0.39820539950000006,0.45941618079999996,0.5141741036999999,0.20779600739999998,0.32644042370000004,0.48376852270000004,0.36922213439999996,0.5330117941,0.18876582379999998,0.39608147740000005
253,battle,Gislaved,After a long battle @Spurs Matt Bonner took care of Brian Scalabrine in knockout this after... (Vine by @NBA) https://t.co/Q3mGYRDHSF,0,0,0.7580399512999999,0.47069332,0.1058779955,0.11139521,0.4641033411,0.1429246068,0.4909352064,0.1428870559,0.24875989559999998,0.45428529380000005
255,battle,Australia,"#LonePine remembered around Australia as 'descendants' grow via @666canberra #Gallipoli #WW1
http://t.co/bwadX8ywqN http://t.co/UPFjy88KvI",0,0,0.5552362204,0.5020631552,0.29861998559999997,0.229744494,0.3175154328,0.45564171670000003,0.13530299070000001,0.4398620427,0.20529332760000002,0.3429623544
256,bioterror,,FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps #breakingnews,1,1,0.8684165478,0.5554322004,0.47690227630000004,0.6905629634999999,0.6091797352,0.8379722237999999,0.6908844113,0.4334420264,0.4452140629,0.6685123444
259,bioterror,baltimore,Unsurprising/still dismaying consequences of how we went about securing pathogen access: http://t.co/D8EFmGyR2d,0,0,0.5941482186,0.4071189761,0.6795797943999999,0.222424835,0.4411508739,0.2048977911,0.42194011810000004,0.43845599890000003,0.39314702149999997,0.5048141479
261,bioterror,"Washington, D.C., area",Latest fallout from biolab safety lapses: FedEx no longer will transport anthrax &amp; select agent research specimens http://t.co/4iOOyIbxyo,1,1,0.8514592648,0.8016062379000001,0.9487027526,0.4539697468,0.6595801115,0.7344932556,0.6175911427,0.692671299,0.8488504887,0.8662201762
264,bioterror,,Citizens Education Project has acted for years as a watchdog on the Dugway Proving Grounds. http://t.co/NZHXYapLm0,0,0,0.5746119618,0.6945416927,0.6259467006,0.3027572632,0.5724270344,0.5156133771,0.6327958703000001,0.5411731600999999,0.5328114629,0.571036458
266,bioterror,Springfield Tn,FedEx no longer will transport bioterror germs http://t.co/9lam19N5i5 via @USATODAY,0,0,0.7482669353,0.3327535987,0.2747855783,0.4334725142,0.33128958940000003,0.5544308424000001,0.1676678658,0.4561844468,0.1285020709,0.35141742229999995
267,bioterror,"Jacksonville, Florida",In offbeat news @fedex has stopped shipping bioterror pathogens http://t.co/gvXXidHOlF,1,1,0.8616458774,0.8395426273000001,0.6031678914999999,0.619392693,0.5385175347,0.5242708325,0.7299914359999999,0.3220723271,0.4261840582,0.6494312882
269,bioterrorism,USA,Bioterrorism and Ebola. http://t.co/ORIOVftLK4 RT #STOPIslam #TCOT #CCOT #MakeDCListen #TeaParty,1,1,0.5688652396,0.5689152479,0.8806148767,0.5447891951,0.42128124829999997,0.2836238742,0.49128186700000004,0.4797401428,0.22741860149999998,0.5040275455
270,bioterrorism,Los Angeles,The largest bioterrorism attack on U.S. soil involved tacos @atlasobscura http://t.co/1n9CRhWmgl,1,1,0.7032906413,0.7851186991,0.8535279631999999,0.5244335532,0.5942961574,0.5528275371,0.4759111404,0.4367183447,0.6552098989,0.3690807819
271,bioterrorism,Amsterdam NL or Greenwich USA,Is it time to hedge against catastrophic risks such as climate change asteroid impacts or bioterrorism? https://t.co/HQ6WqsgSJX,1,1,0.43639090659999996,0.5050509572,0.737295866,0.7074055672,0.4497761428,0.5171917081,0.4149599075,0.5992071629,0.17000302670000003,0.5052457452
272,bioterrorism,,@USCOURT If 90BLKs&amp;8WHTs colluded 2 take WHT F @USAgov AUTH Hostage&amp;2 make her look BLK w/Bioterrorism&amp;use her lgl/org IDis ID still hers?,1,1,0.6228271723,0.7748126984,0.3465864062,0.8643350601,0.8489058614,0.7259841561,0.6478180885,0.483725965,0.8665110469,0.7015125154999999
273,bioterrorism,,Bioterrorism : Guidelines for Medical and Public Health Management (2002) http://t.co/zkUXHnoBaG http://t.co/FHgkYxffu5,0,0,0.2743293643,0.5159193873,0.7250057459,0.6051009893,0.3689377308,0.35917505619999995,0.444126904,0.6248906851,0.2113730609,0.4616527855
276,bioterrorism,,@DebtAssassin They forget there is the threat of bioterrorism.,0,0,0.5763193965,0.1987065077,0.12457844609999999,0.11455300449999999,0.3152200878,0.18473455309999998,0.2558977604,0.10235983130000001,0.205899179,0.315259099
277,bioterrorism,,HST's Anthony Kimery Discusses #BioTerrorism on @Syfy Channel's 'Joe Rogan Questions Everything' #Pathogen #Virus http://t.co/0FDsc3f2IW,0,0,0.3422854543,0.6472011805,0.2459558845,0.1299116611,0.297287643,0.2174299359,0.28498834370000004,0.241058737,0.12210956220000001,0.2796123028
278,bioterrorism,,Anthony Kimery Discusses #BioTerrorism on SyFy Channel's 'Joe Rogan Questions Everything' http://t.co/zckJWAcRCs,1,1,0.3074185252,0.5450428128,0.2512773871,0.1315294802,0.2703209817,0.1839248836,0.2648326755,0.1783855855,0.10656633970000001,0.3638683558
279,bioterrorism,,@HarvardU If 90BLKs&amp;8WHTs colluded 2 take WHT F @USAgov AUTH Hostage&amp;2 make her look BLK w/Bioterrorism&amp;use her lgl/org IDis ID still hers?,1,1,0.6228271723,0.7748126984,0.3465864062,0.8643350601,0.8489058614,0.7259841561,0.6478180885,0.483725965,0.8665110469,0.7015125154999999
280,bioterrorism,Alaska,Uganda Seen as a Front Line in the Bioterrorism Fight,1,1,0.6722323895000001,0.5014330745000001,0.4422739744,0.3720537126,0.6448376178999999,0.6284701228,0.7253906726999999,0.2180873752,0.4749226868,0.7064895034
281,bioterrorism,"Capitol Hill, Washington",Ppl living w/ HIV have been charged with aggravated assault and bioterrorism for things w/ low or no risk of transmission. #HIVIsNotaCrime,1,1,0.6651129127000001,0.5108741522,0.6023387909000001,0.4392394722,0.38477134700000004,0.3813590109,0.24153223629999998,0.1865294278,0.3756987751,0.49436506630000004
282,bioterrorism,"Fargo, ND | North of Normal",Studying anthrax and bioterrorism before 7 am ?? #carpediem,0,0,0.5323909521,0.454623282,0.6719104648,0.1371350288,0.330196023,0.17087700960000002,0.2768046856,0.2094329596,0.09553208947000001,0.5622107386999999
283,bioterrorism,,@GACourts If 90BLKs&amp;8WHTs colluded 2 take WHT F @USAgov AUTH Hostage&amp;2 make her look BLK w/Bioterrorism&amp;use her lgl/org IDis ID still hers?,1,1,0.6228271723,0.7748126984,0.3465864062,0.8643350601,0.8489058614,0.7259841561,0.6478180885,0.483725965,0.8665110469,0.7015125154999999
284,bioterrorism,,Bioterrorism: Guidelines for Medical and Public Health Management Donald A. Hen http://t.co/tDg0Bsmd6c http://t.co/iirWFZMKHO,0,0,0.3435766995,0.6331279278,0.7314580083,0.6623688936,0.5719581246000001,0.6791505814,0.5567056537,0.7095817924,0.4603122473,0.5134184361
288,bioterrorism,,@mariashriver Was '@FultonInfo'Court trip 2 keep strangers-BLK&amp;WHT-from us'g my @SSAPress ID or 2 forfeit 2 them due 2 Bioterrorism look?@AP,0,0,0.3621285558,0.1699518561,0.1615252197,0.4435613453,0.12543278929999999,0.5819739699,0.1184780896,0.3994741142,0.06057938932999999,0.23342299460000002
291,blaze,"Missoula, MT",@JuneSnowpaw Yeah Gimme dat creamy white stuff ;3,0,0,0.39436706899999996,0.2666783035,0.1241643727,0.13096910720000002,0.5331118703,0.16565576199999998,0.7507699728,0.23631784320000002,0.6185876727,0.4225727022
300,blaze,"Newburgh, NY",My big buzzy John BlaZe. Jus Kame home from a 12 year bid. #LoveThyFamily https://t.co/xrEuoNzzbi,0,0,0.1547658741,0.2979118824,0.2358521223,0.6099564433,0.340075016,0.5098663568,0.3142515719,0.4185719788,0.1729044914,0.26228347420000003
304,blazing,"California, USA",I checked in at Blazing Horse Tattoo on #Yelp http://t.co/z8nXWmYMWA,0,0,0.4559259415,0.6816059946999999,0.1824993789,0.23264354469999998,0.5035660267000001,0.2331297398,0.4861863554,0.26689553260000004,0.3292856812,0.5116633177000001
