id,index,text,target,BERT-2e359f0b,LSTM-GloVe-8b7db91c,LSTM_DROPOUT-GloVe-8b7db91c,BI_LSTM-GloVe-8b7db91c,LSTM_CNN-GloVe-8b7db91c,FASTTEXT-GloVe-8b7db91c,RCNN-GloVe-71bd09db,CNN-GloVe-d3cc3c6e,RNN-GloVe-7bc816a1,GRU-GloVe-8b7db91c,HAN-GloVe-a85c8435,LSTM-71bd09db,LSTM_DROPOUT-d3cc3c6e,BI_LSTM-8b7db91c,LSTM_CNN-8b7db91c,FASTTEXT-b054e509,RCNN-7bc816a1,CNN-b054e509,RNN-1258a9d2,GRU-b054e509,HAN-a85c8435,RIDGE-2e359f0b,SVC-4c2e484d,LOGISTIC_REGRESSION-8b7db91c,SGD-2e359f0b,DECISION_TREE-7bc816a1,RANDOM_FOREST-60314ef9
2104,6400,NIggas playing in the thunderstorm.. 'HOPE THE LORR BLESS EM' ????,1,0.10956199999999999,0.008453,0.019375999999999997,0.02447,0.034962,0.076113,0.330219,0.33351,0.043894999999999997,0.15875899999999998,0.138768,0.037531999999999996,0.056428,0.008752,0.056771,0.112686,0.048272,0.079833,0.023872,0.191491,0.434363,0,0,0,0,0,0
2163,7086,.@wwp is serving more than 75k veterans. 52k OIF/OEF vets have physical wounds; many more have invisible ones http://t.co/sHHLV4dPlz #client,1,0.43166099999999996,0.018428,0.09967000000000001,0.047668,0.057309000000000006,0.05298099999999999,0.031296,0.091882,0.03597,0.067165,0.046176,0.041558,0.095791,0.031264,0.18606,0.301026,0.040037,0.178116,0.040926,0.097955,0.25963200000000003,0,0,0,0,0,0
2188,149,@mickinyman @TheAtlantic That or they might be killed in an airplane accident in the night a car wreck! Politics at it's best.,0,0.77885,0.9282590000000001,0.978873,0.870215,0.877661,0.905716,0.923157,0.853611,0.963342,0.955676,0.968849,0.868455,0.822357,0.9213600000000001,0.986958,0.847046,0.966791,0.9382450000000001,0.969403,0.9589719999999999,0.985682,1,1,1,1,1,1
2274,1077,She didn't even notice me in the background I'm a floatin head #bombed http://t.co/JA0WGp8sPe,1,0.013179,0.137992,0.13588,0.198546,0.127212,0.350959,0.237639,0.48869300000000004,0.079515,0.31564200000000003,0.147551,0.0441,0.054826,0.094965,0.086505,0.167986,0.041011,0.079567,0.077096,0.055422000000000006,0.029367,0,0,0,0,0,0
2546,3767,@adorableappple No reported flooding po in the area. Ten-4. #mmda,0,0.9937219999999999,0.969801,0.9883149999999999,0.966792,0.887827,0.953799,0.8942030000000001,0.996006,0.97887,0.975316,0.9975350000000001,0.957008,0.9606809999999999,0.789558,0.9511350000000001,0.8693649999999999,0.742683,0.894533,0.9141,0.978944,0.914636,1,1,1,1,1,1
2558,3898,@modnao23 the hail is ruining everything. Plus my car I haven't even gotten yet. Have yet another killer migraine and I lost my glasses. ??,1,0.268941,0.14968,0.06566699999999999,0.28377199999999997,0.056146,0.161864,0.014491999999999998,0.036964,0.342129,0.260396,0.067937,0.115933,0.092926,0.154943,0.352077,0.031467,0.277439,0.052121,0.175343,0.08144900000000001,0.010573,0,0,0,0,0,0
2624,4566,Nearly had a heart attack just now; loud bang against window next to meÛ_turns out it was two birds flying into the glass.,1,0.24566100000000002,0.120032,0.045688,0.123743,0.024179,0.143448,0.167831,0.14103,0.1351,0.085034,0.05831,0.15943,0.154895,0.067437,0.042144,0.190067,0.028191,0.254778,0.08251499999999999,0.411325,0.20452599999999999,0,0,0,0,0,0
2635,4642,@NeanderRebel If you take the suit off him I wouldn't be surprised to hear this is the face that belonged to another democrat mass-murderer,1,0.31159699999999996,0.118003,0.063965,0.043626,0.056555999999999995,0.12466500000000001,0.027993,0.030494999999999998,0.175301,0.100886,0.12314100000000001,0.042168000000000004,0.039606,0.067827,0.339814,0.012546,0.11480599999999999,0.031763,0.20527399999999998,0.016589,0.012495000000000001,0,0,0,0,0,0
2822,6491,Robert Gagnon reviews the catastrophe of imposing same-sex marriage and how Christians should respond http://t.co/HIpklxpHnp,1,0.37538299999999997,0.09479299999999999,0.08154,0.059224,0.130214,0.14260599999999998,0.252791,0.213794,0.071061,0.090177,0.019477,0.061915,0.050254,0.035508,0.097287,0.100707,0.086039,0.11168499999999999,0.022286,0.024106,0.015444999999999999,0,0,0,0,0,0
2859,6831,Thank you to @scegnews! Our neighborhood looks like a war zone but we had power back in 4 hours!,1,0.453579,0.23113899999999998,0.277966,0.36832,0.076065,0.343341,0.22447899999999998,0.42801300000000003,0.34275100000000003,0.30083899999999997,0.17638299999999998,0.071902,0.07555,0.041277,0.135012,0.16401300000000002,0.086594,0.135393,0.08678999999999999,0.13102,0.138267,0,0,0,0,0,0
2865,6906,@eyecuts @Erasuterism I love 96 Gal Deco to death even if it's a bit trickier to be great with. Glad more weapons are getting Splash Wall,1,0.076713,0.050230000000000004,0.020406999999999998,0.024644,0.022244,0.031327999999999995,0.160666,0.044938,0.045181,0.029887999999999998,0.011398,0.041075,0.044751,0.021696,0.032911,0.024088,0.030044,0.044857,0.025081,0.014672999999999999,0.002911,0,0,0,0,0,0
2890,7122,Sorrower  - Fresh Wounds Over Old Scars  (2015 Death Metal) http://t.co/L056yj2IOi http://t.co/uTMWMjiRty,1,0.059822,0.068873,0.052729,0.0407,0.013659000000000001,0.077388,0.08592899999999999,0.248991,0.028498000000000002,0.136849,0.044476,0.282385,0.240206,0.319398,0.23017800000000002,0.24004899999999998,0.117559,0.20108900000000002,0.46425900000000003,0.05971799999999999,0.24559099999999998,0,0,0,0,0,0
3007,908,@HopefulBatgirl went down I was beaten and blown up. Then next thing I know Ra Al Ghul brought me back to life and I escaped and for a---,1,0.356002,0.052475,0.010523999999999999,0.110145,0.046637,0.058870000000000006,0.092606,0.08154299999999999,0.029287,0.035956,0.017953999999999998,0.188654,0.08694500000000001,0.059176,0.017709,0.012545,0.052274,0.014421000000000002,0.0064540000000000005,0.033343,0.00796,0,0,0,0,0,0
3038,1142,US wont upgrade its infrastructure? http://t.co/NGEHhG9YGa' it a bad situation and its going to get ugly very quickly #USA #sustainability,1,0.341067,0.062485,0.160493,0.299509,0.22444,0.187355,0.114888,0.108654,0.078047,0.204958,0.070364,0.026680000000000002,0.116193,0.078066,0.134017,0.22919299999999998,0.179769,0.283132,0.165974,0.263813,0.058517999999999994,0,0,0,0,0,0
3039,1197,Fire hazard associated with installation of non-compliant external cladding on high-rise buildings - Insurance - Aust http://t.co/wFsEaOBATo,0,0.652578,0.8756790000000001,0.90725,0.81857,0.779572,0.737284,0.6581279999999999,0.6848609999999999,0.8117409999999999,0.7756109999999999,0.596932,0.9315110000000001,0.7948850000000001,0.832263,0.5403819999999999,0.7118140000000001,0.7957810000000001,0.879232,0.791171,0.5886520000000001,0.687704,1,1,1,1,1,1
3758,1375,Cos sanity brings no reward for one more hit and one last score... Don't be a casualty cut the cord...,1,0.046458,0.028845,0.015516,0.039413,0.028928,0.008979000000000001,0.012902,0.035431,0.006772,0.023587999999999998,0.03283,0.059533,0.111311,0.139013,0.038024,0.07283400000000001,0.041361,0.171525,0.053411,0.276053,0.039695999999999995,0,0,0,0,0,0
3759,1398,#NowPlaying: Dubstep Hardstyle Trap Messy Mix (event recording) by Alien Casualty on @Mixify http://t.co/m203UL6o7p http://t.co/m203UL6o7p,1,0.128906,0.021936,0.01354,0.022443,0.012223999999999999,0.007815,0.019275999999999998,0.049416,0.005298,0.022428,0.021268000000000002,0.065915,0.138907,0.087937,0.132922,0.183629,0.350821,0.250247,0.101865,0.15426900000000002,0.027569,0,0,0,0,0,0
3858,2366,Me watching Law &amp; Order (IB: @sauldale305) (Vine by @NaturalExample) https://t.co/tl29LnU44O,1,0.10727,0.047744999999999996,0.023788999999999998,0.028337,0.018632,0.027302,0.006285,0.005935,0.018283,0.013386000000000002,0.008454000000000001,0.057343,0.096368,0.47074399999999994,0.152371,0.13750199999999999,0.10209700000000001,0.16456199999999999,0.42552299999999993,0.073988,0.192768,0,0,0,0,0,0
3899,2838,@NWSPocatello BG-16: So far brunt of storm just to our north. Grayed out w/ dust &amp; rain to N blue sky interspersed w/ clouds to S.,0,0.983907,0.8925200000000001,0.9508260000000001,0.912149,0.907695,0.960276,0.9669059999999999,0.8623139999999999,0.9304610000000001,0.9230659999999999,0.828448,0.904175,0.7731,0.963622,0.972441,0.9682219999999999,0.9356690000000001,0.668399,0.952219,0.84715,0.991676,1,1,1,1,1,1
3926,3156,AND MY FAM HAD TO EVACUATE BC WE NEED POWER,1,0.290765,0.172301,0.156704,0.13134,0.138489,0.20319500000000001,0.281607,0.320013,0.229863,0.301706,0.182238,0.027504,0.043998,0.044775,0.06967000000000001,0.149409,0.106369,0.172574,0.12668800000000002,0.052548000000000004,0.265374,0,0,0,0,0,0
4026,4127,@dreamoforgonon @TeeEss not to hijack but as a bona fide cislady I can confirm this as true; incidental homosexuality =/= gay/bi for women.,1,0.045143,0.036263,0.030302999999999997,0.035217,0.02008,0.026000000000000002,0.016964,0.015106,0.009609,0.029151999999999997,0.010099,0.097872,0.053517999999999996,0.068328,0.033174,0.121754,0.146134,0.175345,0.067746,0.087891,0.081414,0,0,0,0,0,0
4038,4207,@Drsarwatzaib070 come on. IK will face MCourt for attacking parliment and hijacking TV station.,1,0.40217800000000004,0.205666,0.257758,0.185324,0.19054300000000002,0.21396199999999999,0.14577400000000001,0.169951,0.337898,0.156772,0.146454,0.03163,0.052929,0.043701,0.038515,0.102413,0.13538599999999998,0.087813,0.105859,0.046813,0.045595,0,0,0,0,0,0
4076,4547,Cell Phone Shop : http://t.co/iOq051t5te #629 8-Pin Lightning Connector 2.1A Car Charger For Apple 5 5S 5C 6 6+ iÛ_ http://t.co/klxAUcNP5I,1,0.019541,0.065057,0.022430000000000002,0.046354,0.030617000000000002,0.028457,0.0205,0.059962,0.027686000000000002,0.086143,0.071674,0.11403900000000002,0.139194,0.128807,0.050298,0.12920399999999999,0.042641000000000005,0.280744,0.142458,0.46831999999999996,0.026156,0,0,0,0,0,0
4242,6065,@FoxNewsInsider All Obama is doing is giving a false time schedule on Iran testing there first bomb      Bomb = Nuclear Suicide Vest,0,0.964606,0.958799,0.928002,0.947615,0.9560870000000001,0.958175,0.953518,0.960982,0.8962040000000001,0.9278770000000001,0.946318,0.903603,0.80204,0.9207059999999999,0.977342,0.9328069999999999,0.9691209999999999,0.8665129999999999,0.9260379999999999,0.65491,0.92953,1,1,1,1,1,1
4273,6364,@dmassa5 Definite triple crown threat. Him and Harper both.,1,0.037558,0.35497,0.292296,0.274866,0.275645,0.183318,0.125127,0.091864,0.37699499999999997,0.255575,0.14033199999999998,0.060217999999999994,0.04973,0.092542,0.107002,0.216338,0.208367,0.229258,0.31735,0.071511,0.284144,0,0,0,0,0,0
4313,6720,Satellite Spies Super Typhoon Soudelor from Space (Photo) http://t.co/VBhu2t8wgB,0,0.961404,0.85919,0.9479879999999999,0.888237,0.9242540000000001,0.893423,0.8562379999999999,0.9357270000000001,0.9043549999999999,0.920018,0.939867,0.9632129999999999,0.950736,0.90653,0.9786090000000001,0.679953,0.9534940000000001,0.8476030000000001,0.967469,0.624916,0.8776139999999999,1,1,1,1,1,1
4330,6848,THIS IS A ONE DIRECTION CONCERT NOT A WAR ZONE WHAT IS THIS #OTRAMETLIFE http://t.co/PtY9HRCUZH,1,0.070596,0.035203,0.028235000000000003,0.037831000000000004,0.067277,0.031776,0.043627,0.200519,0.012504000000000001,0.127805,0.052235000000000004,0.036411,0.068205,0.059966,0.10103,0.128573,0.157879,0.211696,0.138729,0.11013699999999998,0.026983999999999998,0,0,0,0,0,0
4351,7117,@IcyMagistrate ÛÓher upper armÛÒ those /friggin/ icicle projectilesÛÒ and leg from various other wounds the girl looks like a miniature moreÛÓ,1,0.06026,0.032113,0.013243000000000001,0.023044,0.016901,0.009376,0.037624,0.065262,0.0066489999999999995,0.023455,0.116218,0.255211,0.12013099999999999,0.130598,0.035306,0.097558,0.107897,0.279861,0.179727,0.428885,0.173958,0,0,0,0,0,0
4412,519,Chiasson Sens can't come to deal #ColoradoAvalanche #Avalanche http://t.co/2bk7laGMa9 http://t.co/bkDGCfsuiQ,1,0.114523,0.45151899999999995,0.332648,0.17661,0.334271,0.271596,0.49015299999999995,0.16454100000000002,0.259272,0.223987,0.293668,0.05273099999999999,0.054676999999999996,0.111073,0.13783399999999998,0.165658,0.02181,0.20969899999999997,0.020745,0.131724,0.151634,0,0,0,0,0,0
4417,537,Black Eye 9: A space battle occurred at Star M27329 involving 1 fleets totaling 1236 ships with 7 destroyed,1,0.140534,0.31140500000000004,0.034663,0.175451,0.055823000000000005,0.123384,0.07789700000000001,0.017279,0.075527,0.05280599999999999,0.082386,0.050566,0.044102999999999996,0.016096,0.042689,0.021981999999999998,0.010281,0.037819,0.007370000000000001,0.069396,0.015516,0,0,0,0,0,0
4849,4825,@TwopTwips make natural disaster reporting more interesting by adding 'The' to headlines such as 'Rescuers are sifting through the wreckage',0,0.7042430000000001,0.852563,0.912866,0.8943969999999999,0.950227,0.945659,0.9645530000000001,0.719086,0.954097,0.9494379999999999,0.89038,0.906683,0.929443,0.927328,0.699847,0.850354,0.9687040000000001,0.722228,0.9389540000000001,0.564308,0.725576,1,1,1,1,1,1
4958,5948,Sassy city girl country hunk stranded in Smoky Mountain snowstorm #AoMS http://t.co/ZDJ2hyF6RO #ibooklove #bookboost,0,0.83201,0.893875,0.966189,0.943256,0.9664010000000001,0.965201,0.978583,0.951259,0.975477,0.93199,0.922119,0.906697,0.959009,0.946099,0.9303629999999999,0.9443590000000001,0.9618690000000001,0.936459,0.8687090000000001,0.813822,0.905659,1,1,1,1,1,1
4959,5951,"ÛÏ@LordBrathwaite: Everyone Here: Ahh I hate snow!

Me: Lol u call this a snowstorm..?

#growingupincoloradoÛ",1,0.089228,0.35717899999999997,0.039444,0.23963099999999998,0.265471,0.198132,0.08523700000000001,0.101681,0.073371,0.21299200000000001,0.138457,0.05769199999999999,0.059136,0.065092,0.05873099999999999,0.024991,0.032311,0.046407,0.020013,0.053232,0.009408,0,0,0,0,0,0
4988,6238,It's a miracle that mankind survived 70 years since one of the worst days in its history. All bets are off if it will survive the next 70.,1,0.499105,0.255952,0.070105,0.085742,0.097853,0.096342,0.396918,0.34544,0.167552,0.083399,0.483767,0.409616,0.187091,0.47786899999999993,0.15459,0.35365,0.232206,0.480407,0.097075,0.285049,0.232927,0,0,0,0,0,0
5127,349,VICTORINOX SWISS ARMY DATE WOMEN'S RUBBER MOP WATCH 241487 http://t.co/yFy3nkkcoH http://t.co/KNEhVvOHVK,1,0.015419,0.036701,0.023875999999999998,0.022568,0.041698,0.034753,0.016535,0.038183999999999996,0.029602,0.009327,0.008889,0.088285,0.18291500000000002,0.083717,0.038911,0.211733,0.020708,0.075075,0.136138,0.118026,0.291713,0,0,0,0,0,0
5132,409,Video Captures Man Removing American Flag From Long Beach CA Home Burning It; Arsonist Sought http://t.co/JP2QlrunjJ http://t.co/jbpgkGOwSi,0,0.927401,0.833333,0.7321270000000001,0.805157,0.746659,0.855082,0.620635,0.604727,0.8412430000000001,0.777075,0.786061,0.965517,0.911481,0.9061450000000001,0.746794,0.89931,0.8146180000000001,0.8899219999999999,0.763225,0.951773,0.958677,1,1,1,1,1,1
5143,571,#world FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps  http://t.co/5zDbTktwW7,0,0.984518,0.740301,0.779687,0.753412,0.9043049999999999,0.738649,0.9370649999999999,0.971899,0.749011,0.8938219999999999,0.8860549999999999,0.849507,0.8757020000000001,0.9119120000000001,0.844359,0.872575,0.950617,0.928852,0.858433,0.674164,0.942248,1,1,1,1,1,1
5220,1414,UPDATE: 7 of the 9 Mac Pros my company bought in May have had catastrophe failures requiring repair!,1,0.20776799999999998,0.039997000000000005,0.068424,0.028455,0.052472000000000005,0.041813,0.040398,0.08341,0.14493,0.011414,0.0037670000000000004,0.227056,0.211877,0.062951,0.051409,0.276418,0.074462,0.268016,0.101095,0.221784,0.38201999999999997,0,0,0,0,0,0
5232,1536,Interview on The Collapse of Materialism Best #TalkRadio Listen Live: http://t.co/sDXZHjco0X,1,0.278055,0.025869999999999997,0.017825999999999998,0.02099,0.029487,0.013427000000000001,0.034044,0.030277,0.018272,0.013267,0.318816,0.059098000000000005,0.322238,0.065205,0.031324,0.286639,0.021824,0.12930999999999998,0.09704700000000001,0.179282,0.35996100000000003,0,0,0,0,0,0
5262,1868,GREAT CONDITION Easton Cyclone Softball Bat Fastpitch (-9) 29/20 SK398 http://t.co/rA2mAjPkq2 http://t.co/y7gHHYK05b,1,0.02559,0.2122,0.188839,0.215677,0.289281,0.263113,0.285435,0.079297,0.418067,0.34410300000000005,0.49702399999999997,0.037079,0.068591,0.290462,0.13001400000000002,0.20216900000000002,0.069037,0.08380900000000001,0.143506,0.055682,0.43074300000000004,0,0,0,0,0,0
